,Unnamed: 0,VendorID,pickup_date,pickup_time,drop_date,drop_time,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,pickup_time_hour,drop_time_hour,pickup_location
830,2888,2,1/1/16,0:46,1/1/16,1:18,N,1,-74.00240326,40.57705688,-74.00454712,40.65623856,1,9.14,31.0,0.5,0.5,0.0,0.0,,0.3,32.3,2,1.0,0,1,Brooklyn
831,10924,2,1/1/16,1:48,1/1/16,2:04,N,1,-73.8914566,40.7466507,-73.89679718,40.72503662,1,2.78,12.0,0.5,0.5,0.0,0.0,,0.3,13.3,2,1.0,1,2,Queens
832,55190,2,1/1/16,20:09,1/1/16,20:16,N,1,-73.97781372,40.68478012,-73.99320221,40.68260956,1,1.37,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,1,1.0,20,20,Kings County
833,13270,1,1/1/16,1:00,1/1/16,1:04,N,1,-73.92657471,40.76579285,-73.9283905,40.75590515,1,0.9,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,1,1.0,1,1,Queens
834,48379,2,1/1/16,17:24,1/1/16,17:35,N,1,-73.93199158,40.79549789,-73.95729065,40.81172562,1,2.05,9.5,0.0,0.5,0.0,0.0,,0.3,10.3,2,1.0,17,17,Manhattan
835,16588,2,1/1/16,2:31,1/1/16,2:53,N,1,-73.9252243,40.82782745,-73.84539032,40.88501358,1,8.43,26.5,0.5,0.5,0.0,0.0,,0.3,27.8,2,1.0,2,2,Bronx
836,26459,2,1/1/16,4:23,1/1/16,4:29,N,1,-73.92054749,40.75695419,-73.91163635,40.76529694,1,1.02,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1.0,4,4,Queens
837,4240,2,1/1/16,0:26,1/1/16,0:29,N,1,-73.92266846,40.68992615,-73.93150329999997,40.69501114,1,0.59,4.5,0.5,0.5,1.45,0.0,,0.3,7.25,1,1.0,0,0,Brooklyn
838,39587,1,1/1/16,11:37,1/1/16,11:43,N,1,-73.93937683,40.81513596,-73.93106842,40.82286072,1,1.4,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2,1.0,11,11,Manhattan
839,53617,2,1/1/16,19:35,1/1/16,19:46,N,1,-73.94418335,40.71461105,-73.94297028,40.69321823,1,1.85,9.0,0.0,0.5,0.0,0.0,,0.3,9.8,2,1.0,19,19,Brooklyn
